park_code,campground,total_sites,reservable,amenities,nps_url
laro,Kettle River Campground,13,True,Vault toilets|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-kettleriver.htm
laro,Evans Campground,43,True,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-evans.htm
laro,Evans Group Site,1,False,Vault toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-group-evans.htm
laro,Kamloops Island Campground,17,True,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-kamloopsisland.htm
laro,Marcus Island Campground,25,True,Vault toilets|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-marcusisland.htm
laro,Kettle Falls Campground,74,True,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-kettlefalls.htm
laro,Locust Grove Group Sites,2,False,Vault toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-group-locustgrove.htm
laro,Haag Cove Campground,18,True,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-haagcove.htm
laro,Cloverleaf Campground,7,False,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-cloverleaf.htm
laro,Gifford Campground,42,True,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-gifford.htm
laro,Gifford Group Site,1,True,Vault toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-group-gifford.htm
laro,Hunters Campground,37,True,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-hunters.htm
laro,Hunters Group Sites,3,False,Vault toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-group-hunters.htm
laro,Camp Na-Bor-Lee (non-profit operated),10,False,Flush toilets|Showers|Potable water,https://campnaborlee.com/
laro,Fort Spokane Campground,67,True,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-fortspokane.htm
laro,Porcupine Bay Campground,20,True,Flush toilets|Potable water|Dump station,https://www.nps.gov/laro/planyourvisit/cg-porcupinebay.htm
laro,Hawk Creek Campground,20,True,Vault toilets,https://www.nps.gov/laro/planyourvisit/cg-hawkcreek.htm
laro,Jones Bay Campground,9,True,Vault toilets,https://www.nps.gov/laro/planyourvisit/cg-jonesbay.htm
laro,Keller Ferry Campground (Concessionaire-operated),55,False,Flush toilets|Potable water|Dump station|Camp store|Tent sites|Cell reception,https://lakerooseveltadventures.com/campground/
laro,Keller Ferry Group Sites (Concessionaire-operated),2,False,Vault toilets|Potable water|Dump station|Camp store|Cell reception,https://lakerooseveltadventures.com/campground/
laro,Spring Canyon Campground,68,True,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-springcanyon.htm
